City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
582,Hambantota,LK,79.59,light rain,6.1241,81.1185,Bungalow 63
583,Bahia Honda,CU,83.25,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
586,Buerarema,BR,81.19,overcast clouds,-14.9594,-39.2997,POUSADA JEQUITIBÁ BUERAREMA
587,Tamiahua,MX,85.62,broken clouds,21.2667,-97.45,Mission Of The Sun Hotel
594,Reo,BF,81.16,broken clouds,12.3167,-2.4667,Hôtel Deogratias
599,Hobyo,SO,79.88,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
601,Nangomba,TZ,77.18,clear sky,-10.9,38.5,
603,Ilabaya,PE,75.06,clear sky,-17.4208,-70.5133,
605,Mufulira,ZM,80.37,overcast clouds,-12.5498,28.2407,Kamiria lodge
608,Isla Vista,US,76.3,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
609,Kernersville,US,76.48,few clouds,36.1199,-80.0736,"Holiday Inn Express Kernersville, an IHG Hotel"
612,Pemba,MZ,78.46,clear sky,-12.974,40.5178,Guesthouse Samotina
614,Namatanai,PG,79.3,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
616,Bella Vista,US,79.32,overcast clouds,36.4295,-94.2316,The Inn at Bella Vista
619,Galesong,ID,75.22,scattered clouds,-5.3166,119.3661,Sapriadi Appy
620,Am Timan,TD,83.52,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
622,Penal,TT,82.89,overcast clouds,10.1667,-61.4667,FRASER ST APTS.
623,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
625,Garissa,KE,80.83,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
630,Buin,CL,84.52,clear sky,-33.7333,-70.75,Paihuen
633,Birao,CF,79.16,overcast clouds,10.2849,22.7882,
634,Sambava,MG,76.15,light rain,-14.2667,50.1667,Melrose
635,Pochutla,MX,88.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
638,Tabou,CI,77.74,overcast clouds,4.423,-7.3528,hotêl doufoulougou
640,Muncar,ID,77.04,overcast clouds,-8.4333,114.3333,Zaky Homestay
641,Media Luna,CU,85.01,broken clouds,20.1419,-77.435,Casa particular Pedro y Tamara
642,Villamontes,BO,88.16,clear sky,-21.25,-63.5,Hotel Raldes
645,Itarema,BR,83.21,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
648,Adre,TD,82.11,clear sky,13.4667,22.2,
650,Viedma,AR,81.73,clear sky,-40.8135,-62.9967,Hotel Cristal
658,Qeshm,IR,84.09,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
659,Ratnagiri,IN,76.44,overcast clouds,16.9833,73.3,Hotel Landmark
661,Cabedelo,BR,84.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
666,Usagara,TZ,75.42,scattered clouds,-2.6833,33.0,Mishamo
667,Ibra,OM,77.83,scattered clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
668,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
669,Pio Xii,BR,85.87,overcast clouds,-3.8325,-45.1525,BACURI DOS QUARESMAS
672,Sechura,PE,77.63,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
673,La Orilla,MX,77.29,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
