City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Smithers,CA,54.7804,-127.1743,34.12,86,75,2.3,broken clouds
334,Beringovskiy,RU,63.05,179.3167,7.72,86,36,7.29,scattered clouds
335,Poum,NC,-20.2333,164.0167,74.14,79,14,9.46,few clouds
336,Malya,TZ,-2.9833,33.5167,74.55,56,33,3.11,scattered clouds
337,Kavaratti,IN,10.5669,72.642,81.75,75,63,6.98,broken clouds
338,Qaqortoq,GL,60.7167,-46.0333,32.61,58,100,5.37,overcast clouds
339,Tjome,NO,59.1109,10.3933,52.3,93,75,14.97,broken clouds
340,Babstovo,RU,48.1167,132.4833,38.98,70,1,4.79,clear sky
341,Iquitos,PE,-3.7481,-73.2472,93.24,55,75,9.22,broken clouds
342,Batagay,RU,67.6333,134.6333,6.12,97,100,2.66,overcast clouds
343,Luyang,CN,27.6239,110.0989,49.87,81,0,2.37,clear sky
